t_utc[s],a_x[m/s2],a_y[m/s2],a_z[m/s2],w_x[rad/s],w_y[rad/s],w_z[rad/s]
1781271120.071576,-0.202779,-2.036274,-9.590769,-0.003425,0.169677,-0.040580
1781271120.081576,-0.186325,-2.035035,-9.591366,-0.025756,0.156644,-0.031254
1781271120.091576,-0.171927,-2.031747,-9.592332,-0.040002,0.131417,-0.025444
1781271120.101576,-0.161470,-2.028043,-9.593297,-0.036951,0.071918,-0.022029
1781271120.111576,-0.156174,-2.024536,-9.594126,-0.036818,0.030584,-0.034155
1781271120.121576,-0.152814,-2.021096,-9.594905,-0.040126,0.026440,-0.052158
1781271120.131576,-0.149223,-2.016883,-9.595848,-0.047771,0.023490,-0.072133
1781271120.141576,-0.145113,-2.011858,-9.596966,-0.061995,0.026519,-0.085215
1781271120.151576,-0.140342,-2.005433,-9.598381,-0.075191,0.032190,-0.087713
1781271120.161576,-0.135783,-1.996955,-9.600215,-0.103582,0.022701,-0.081716
1781271120.171576,-0.132847,-1.985926,-9.602543,-0.128656,0.005405,-0.066971
1781271120.181576,-0.131810,-1.972324,-9.605360,-0.154406,-0.008641,-0.057575
1781271120.191576,-0.132822,-1.956762,-9.608529,-0.166790,-0.036875,-0.050220
1781271120.201576,-0.137180,-1.940980,-9.611668,-0.161414,-0.072903,-0.043437
1781271120.211576,-0.145199,-1.926059,-9.614551,-0.152916,-0.110477,-0.049363
1781271120.221576,-0.155775,-1.912228,-9.617146,-0.137258,-0.132976,-0.064282
1781271120.231576,-0.168335,-1.899477,-9.619461,-0.133240,-0.156069,-0.075464
1781271120.241576,-0.183022,-1.887164,-9.621616,-0.126155,-0.179632,-0.079246
1781271120.251576,-0.200318,-1.875854,-9.623482,-0.113811,-0.213607,-0.083486
1781271120.261576,-0.220700,-1.866075,-9.624937,-0.093755,-0.240584,-0.081190
1781271120.271576,-0.243232,-1.858205,-9.625917,-0.074587,-0.260128,-0.085201
1781271120.281576,-0.267108,-1.851763,-9.626525,-0.062683,-0.269210,-0.095453
1781271120.291576,-0.291089,-1.846727,-9.626797,-0.047445,-0.266887,-0.103368
1781271120.301576,-0.314401,-1.842701,-9.626836,-0.044502,-0.254094,-0.097873
1781271120.311576,-0.336045,-1.838478,-9.626912,-0.051297,-0.229191,-0.083494
1781271120.321576,-0.354927,-1.833459,-9.627192,-0.058785,-0.192815,-0.064917
1781271120.331576,-0.370917,-1.827647,-9.627694,-0.066633,-0.161038,-0.046158
1781271120.341576,-0.384263,-1.820864,-9.628456,-0.078579,-0.131883,-0.031112
1781271120.351576,-0.394626,-1.812885,-9.629543,-0.088719,-0.091781,-0.018730
1781271120.361576,-0.401274,-1.804152,-9.630908,-0.095158,-0.051348,-0.012188
1781271120.371576,-0.404198,-1.795269,-9.632446,-0.090486,-0.016455,-0.005725
1781271120.381576,-0.404258,-1.786966,-9.633987,-0.080876,0.013463,-0.002024
1781271120.391576,-0.401212,-1.780202,-9.635367,-0.061323,0.050489,-0.000325
1781271120.401576,-0.394638,-1.775681,-9.636472,-0.034805,0.084651,0.001559
1781271120.411576,-0.385134,-1.773995,-9.637167,-0.000332,0.112165,-0.001461
1781271120.421576,-0.373384,-1.774993,-9.637446,0.018709,0.127743,-0.006778
1781271120.431576,-0.361017,-1.777750,-9.637409,0.034353,0.127003,-0.003845
1781271120.441576,-0.349241,-1.781310,-9.637185,0.037372,0.118348,-0.000360
1781271120.451576,-0.337969,-1.784772,-9.636947,0.031396,0.118620,0.007036
1781271120.461576,-0.326296,-1.787287,-9.636883,0.018619,0.128672,0.017604
1781271120.471576,-0.313248,-1.787756,-9.637228,-0.004068,0.150299,0.028274
1781271120.481576,-0.298989,-1.785801,-9.638044,-0.031622,0.155554,0.038537
1781271120.491576,-0.285095,-1.781640,-9.639235,-0.053267,0.145236,0.046750
1781271120.501576,-0.273128,-1.775202,-9.640769,-0.078821,0.122003,0.051978
1781271120.511576,-0.263320,-1.766463,-9.642647,-0.100628,0.101104,0.048308
1781271120.521576,-0.254843,-1.755852,-9.644812,-0.115402,0.094598,0.046815
1781271120.531576,-0.246402,-1.744472,-9.647096,-0.116182,0.096617,0.043236
1781271120.541576,-0.237669,-1.733319,-9.649326,-0.113407,0.100108,0.037722
1781271120.551576,-0.228414,-1.722634,-9.651463,-0.105485,0.098895,0.030715
1781271120.561576,-0.220651,-1.713173,-9.653327,-0.089794,0.068105,0.030526
1781271120.571576,-0.215687,-1.705303,-9.654833,-0.072046,0.048299,0.033872
1781271120.581576,-0.211387,-1.699119,-9.656018,-0.055466,0.056194,0.043541
