t_utc[s],pressure[millibar]
1781276172.595956,999.856873
1781276173.600136,999.854507
1781276174.604294,999.852142
1781276175.608440,999.852142
1781276176.612613,999.878006
1781276176.965667,999.878006
1781276178.036720,999.870682
1781276179.107800,999.870682
1781276180.178925,999.870682
1781276181.250024,999.864655
1781276182.321139,999.863586
1781276183.392227,999.863586
1781276184.463330,999.868088
1781276185.534473,999.870529
1781276186.605605,999.873581
1781276187.676697,999.887314
1781276188.747775,999.914551
1781276189.818843,999.953766
1781276190.889920,1000.014801
1781276191.960982,1000.081940
1781276193.032038,1000.145340
1781276194.103134,1000.200806
1781276195.174259,1000.241928
1781276196.245378,1000.264893
1781276197.316465,1000.270615
1781276198.387575,1000.270615
1781276199.458664,1000.264435
1781276200.529750,1000.255203
1781276201.600833,1000.252075
1781276202.671989,1000.252075
1781276203.743133,1000.254669
1781276204.814242,1000.263290
1781276205.885337,1000.278854
1781276206.956433,1000.307846
1781276208.027524,1000.343628
1781276209.098599,1000.381012
1781276210.169714,1000.417709
1781276211.240884,1000.450668
1781276212.312011,1000.494919
1781276213.383125,1000.538559
1781276214.454237,1000.600815
1781276215.525357,1000.691147
1781276216.596476,1000.796432
1781276217.667634,1000.901337
1781276218.738809,1001.020813
1781276219.809876,1001.138535
1781276220.880969,1001.249313
1781276221.952049,1001.362152
1781276223.023161,1001.458282
1781276224.094273,1001.543274
1781276225.165367,1001.609650
1781276226.236475,1001.659622
1781276227.307524,1001.676102
1781276228.378576,1001.690826
1781276229.449659,1001.700668
1781276230.520693,1001.713028
1781276231.591704,1001.725006
1781276232.662712,1001.747360
1781276233.733734,1001.769791
1781276234.804818,1001.791916
1781276235.875904,1001.806870
1781276236.946900,1001.813507
1781276238.017874,1001.813507
1781276239.088873,1001.804733
1781276240.159837,1001.794510
1781276241.230803,1001.787186
1781276242.301778,1001.787186
1781276243.372758,1001.793900
1781276244.443757,1001.807175
1781276245.514739,1001.807175
1781276246.585764,1001.799622
1781276247.656830,1001.784286
1781276248.727926,1001.761017
1781276249.798995,1001.727371
1781276250.870053,1001.706085
1781276251.941152,1001.691208
1781276253.012198,1001.680908
1781276254.083256,1001.676636
1781276255.154347,1001.672516
1781276256.225437,1001.664963
1781276257.296542,1001.653748
1781276258.367641,1001.639481
1781276259.438763,1001.618118
1781276260.509805,1001.598129
1781276261.580871,1001.572037
1781276262.651922,1001.542053
1781276263.722968,1001.498871
1781276264.794009,1001.461182
1781276265.865050,1001.408463
1781276266.936133,1001.355209
1781276268.007195,1001.302338
1781276269.078247,1001.246338
1781276270.149283,1001.188354
1781276271.220305,1001.133728
1781276272.291355,1001.077423
1781276273.362386,1001.027145
1781276274.433446,1000.973053
1781276275.504536,1000.931015
1781276276.575611,1000.891266
1781276277.646699,1000.860672
1781276278.717766,1000.834579
1781276279.788837,1000.821152
1781276280.859933,1000.811539
1781276281.930976,1000.800552
1781276283.001987,1000.794678
1781276284.072986,1000.789490
1781276285.144041,1000.780258
1781276286.215089,1000.774612
1781276287.286154,1000.769501
1781276288.357226,1000.759430
1781276289.428270,1000.754776
1781276290.499393,1000.748291
1781276291.570487,1000.740509
1781276292.641521,1000.738220
1781276293.712536,1000.738220
1781276294.783574,1000.763779
1781276295.854659,1000.772476
1781276296.925715,1000.777588
1781276297.996802,1000.779572
1781276299.067922,1000.779572
1781276300.139000,1000.756073
1781276301.210044,1000.748367
1781276302.281077,1000.744705
1781276303.352078,1000.744705
1781276304.423110,1000.749741
1781276305.494161,1000.750122
1781276306.565234,1000.754471
1781276307.636275,1000.755005
1781276308.707315,1000.755005
1781276309.778337,1000.747147
1781276310.849358,1000.742188
1781276311.920397,1000.739746
1781276312.991467,1000.738144
1781276314.062512,1000.739746
1781276315.133530,1000.736694
1781276316.204511,1000.732956
1781276317.275545,1000.726547
1781276318.346581,1000.711365
1781276319.417615,1000.694733
1781276320.488611,1000.679092
1781276321.559562,1000.665817
1781276322.630553,1000.654449
1781276323.701575,1000.645142
1781276324.772568,1000.643234
1781276325.843564,1000.641556
1781276326.914545,1000.640106
1781276327.985556,1000.633850
1781276329.056563,1000.633392
1781276330.127579,1000.632401
1781276331.198617,1000.625610
1781276332.269652,1000.623322
1781276333.340661,1000.623322
1781276334.411706,1000.623322
1781276335.482721,1000.623703
1781276336.553746,1000.623016
1781276337.624818,1000.621033
1781276338.695835,1000.614700
1781276339.766857,1000.611649
1781276340.837850,1000.610046
1781276341.908846,1000.604706
1781276342.979852,1000.595093
1781276344.050882,1000.584106
1781276345.121923,1000.569000
1781276346.192945,1000.557709
1781276347.263986,1000.549622
1781276348.335079,1000.542221
1781276349.406131,1000.542221
1781276350.477168,1000.544586
1781276351.548141,1000.546646
1781276352.619142,1000.552902
1781276353.690094,1000.564194
1781276354.761091,1000.577240
1781276355.832106,1000.579758
1781276356.903108,1000.580902
1781276357.974095,1000.579758
1781276359.045067,1000.579910
1781276360.116109,1000.579910
1781276361.187139,1000.582275
1781276362.258114,1000.582275
1781276363.329149,1000.574799
1781276364.400139,1000.570755
1781276365.471121,1000.570755
1781276366.542095,1000.575638
1781276367.613053,1000.581131
1781276368.684009,1000.597000
1781276369.754967,1000.606995
1781276370.825906,1000.613556
1781276371.896848,1000.616531
1781276372.967835,1000.620575
1781276374.038828,1000.626907
1781276375.109758,1000.641327
1781276376.180749,1000.659332
1781276377.251754,1000.685577
1781276378.322760,1000.706558
1781276379.393711,1000.724487
1781276380.464642,1000.734711
1781276381.535574,1000.735168
1781276382.606529,1000.735168
1781276383.677442,1000.735168
1781276384.748352,1000.735321
1781276385.819256,1000.736008
1781276386.890170,1000.737915
1781276387.961105,1000.737915
1781276389.032050,1000.737457
1781276390.103027,1000.735092
1781276391.174019,1000.731125
1781276392.244984,1000.731125
1781276393.315943,1000.732803
1781276394.386928,1000.736847
1781276395.457922,1000.739441
1781276396.528861,1000.739441
1781276397.599810,1000.736160
1781276398.670744,1000.736160
1781276399.741687,1000.738678
1781276400.812592,1000.742111
1781276401.883555,1000.746307
1781276402.954495,1000.748901
1781276404.025430,1000.748901
1781276405.096362,1000.746384
1781276406.167335,1000.745926
1781276407.238306,1000.743866
1781276408.309206,1000.745926
1781276409.380123,1000.746994
1781276410.451067,1000.769424
1781276411.522015,1000.772476
1781276412.592994,1000.774155
1781276413.663940,1000.776443
1781276414.734899,1000.776443
